Date,SELG
2016-09-28,6.0987982749938965
2016-09-29,6.301280975341797
2016-09-30,6.268883228302002
2016-10-03,6.171691417694092
2016-10-04,6.0906982421875
2016-10-05,6.066400051116943
2016-10-06,6.082598686218262
2016-10-07,6.0906982421875
2016-10-10,6.147393703460693
2016-10-11,6.123095512390137
2016-10-12,6.131195068359375
2016-10-13,6.066400051116943
2016-10-14,6.058300971984863
2016-10-17,6.066400051116943
2016-10-18,6.050201892852783
2016-10-19,6.066400051116943
2016-10-20,6.058300971984863
2016-10-21,5.985406875610352
2016-10-24,5.993506908416748
2016-10-25,6.050201892852783
2016-10-26,6.058300971984863
2016-10-27,6.074499607086182
2016-10-28,6.114996433258057
2016-10-31,6.171691417694092
2016-11-01,6.2040886878967285
2016-11-02,6.260784149169922
2016-11-03,6.106897354125977
