Date,IMOEX
2016-09-26,1997.93994140625
2016-09-27,1975.52001953125
2016-09-28,1980.6800537109375
2016-09-29,1996.1199951171875
2016-09-30,1978.0
2016-10-03,1986.800048828125
2016-10-04,1985.02001953125
2016-10-05,1975.8499755859375
2016-10-06,1983.8800048828125
2016-10-07,1980.02001953125
2016-10-10,2001.0999755859375
2016-10-11,2001.4200439453125
2016-10-12,1993.3499755859375
2016-10-13,1976.3699951171875
2016-10-14,1966.3900146484375
2016-10-17,1956.949951171875
2016-10-18,1969.1099853515625
2016-10-19,1967.5
2016-10-20,1957.0899658203125
2016-10-21,1957.699951171875
2016-10-24,1962.7900390625
2016-10-25,1977.18994140625
2016-10-26,1974.81005859375
2016-10-27,1979.800048828125
2016-10-28,1981.760009765625
2016-10-31,1989.6400146484375
2016-11-01,1996.8699951171875
