Date,OFZ_26209
2016-09-07,978.469
2016-09-08,979.51
2016-09-09,976.0
2016-09-12,978.5
2016-09-13,976.002
2016-09-14,977.001
2016-09-15,977.5
2016-09-16,971.0
2016-09-19,970.024
2016-09-20,965.017
2016-09-21,973.08
2016-09-22,974.009
2016-09-23,971.5
2016-09-26,972.072
2016-09-27,968.846
2016-09-28,971.0
2016-09-29,973.01
2016-09-30,972.5
2016-10-03,975.002
2016-10-04,976.435
2016-10-05,970.0
2016-10-06,969.993
2016-10-07,970.454
2016-10-10,964.0
2016-10-11,965.498
2016-10-12,962.002
2016-10-13,959.773
2016-10-14,958.621
2016-10-17,955.246
2016-10-18,958.916
2016-10-19,960.98
2016-10-20,961.501
2016-10-21,964.256
2016-10-24,961.504
2016-10-25,962.0
2016-10-26,960.0
2016-10-27,957.602
2016-10-28,956.103
2016-10-31,954.321
2016-11-01,955.954
2016-11-02,954.447
2016-11-03,957.907
2016-11-07,958.604
2016-11-08,959.709
2016-11-09,960.52
2016-11-10,952.655
2016-11-11,948.5
2016-11-14,950.498
2016-11-15,952.096
2016-11-16,949.215
2016-11-17,954.496
2016-11-18,954.996
2016-11-21,956.846
2016-11-22,954.983
2016-11-23,950.834
2016-11-24,953.563
2016-11-25,953.667
2016-11-28,950.107
2016-11-29,948.493
2016-11-30,950.455
2016-12-01,952.6
2016-12-02,953.998
2016-12-05,954.1
2016-12-06,957.501
2016-12-07,961.446
2016-12-08,963.5
2016-12-09,963.51
2016-12-12,969.514
2016-12-13,973.532
2016-12-14,974.704
2016-12-15,971.88
2016-12-16,972.0
2016-12-19,970.005
2016-12-20,971.55
2016-12-21,971.3
2016-12-22,972.853
2016-12-23,971.351
2016-12-26,970.55
2016-12-27,971.003
2016-12-28,977.872
2016-12-29,979.001
2016-12-30,978.674
2017-01-03,979.995
2017-01-04,984.49
2017-01-05,984.0
2017-01-06,984.998
2017-01-09,984.002
2017-01-10,988.514
2017-01-11,987.493
2017-01-12,988.014
2017-01-13,989.002
2017-01-16,991.477
2017-01-17,991.0
2017-01-18,991.5
2017-01-19,990.012
2017-01-20,992.001
2017-01-23,990.703
2017-01-24,990.004
2017-01-25,984.517
2017-01-26,982.002
2017-01-27,989.5
2017-01-30,986.5
2017-01-31,983.0
2017-02-01,985.401
2017-02-02,989.5
2017-02-03,987.503
2017-02-06,991.513
2017-02-07,985.532
2017-02-08,985.554
2017-02-09,986.006
2017-02-10,987.503
2017-02-13,986.002
2017-02-14,986.003
2017-02-15,985.417
2017-02-16,980.001
2017-02-17,980.245
2017-02-20,980.265
2017-02-21,977.502
2017-02-22,975.001
2017-02-24,982.575
2017-02-27,977.502
2017-02-28,975.128
2017-03-01,977.441
2017-03-02,974.144
2017-03-03,977.0
2017-03-06,975.9
2017-03-07,977.003
2017-03-09,977.001
2017-03-10,979.005
2017-03-13,982.001
2017-03-14,979.004
2017-03-15,984.194
2017-03-16,987.5
2017-03-17,989.726
2017-03-20,990.001
2017-03-21,990.0
2017-03-22,989.001
2017-03-23,989.001
2017-03-24,989.001
2017-03-27,989.002
2017-03-28,991.5
2017-03-29,990.78
2017-03-30,994.002
2017-03-31,991.501
2017-04-03,990.0
2017-04-04,991.001
2017-04-05,993.0
2017-04-06,995.001
2017-04-07,993.0
2017-04-10,990.007
2017-04-11,990.001
2017-04-12,985.6
2017-04-13,990.999
2017-04-14,993.5
2017-04-17,991.0
2017-04-18,989.601
2017-04-19,991.497
2017-04-20,993.299
2017-04-21,995.65
2017-04-24,999.5
2017-04-25,998.0
2017-04-26,995.111
2017-04-27,998.0
2017-04-28,1001.5
2017-05-02,1002.5
2017-05-03,1000.501
2017-05-04,997.001
2017-05-05,996.48
2017-05-10,999.532
2017-05-11,998.604
2017-05-12,1004.066
2017-05-15,1003.672
2017-05-16,1001.004
2017-05-17,999.499
2017-05-18,1000.0
2017-05-19,1001.867
2017-05-22,999.81
2017-05-23,1001.5
2017-05-24,996.52
2017-05-25,996.4
2017-05-26,994.14
2017-05-29,994.65
2017-05-30,995.95
2017-05-31,994.9
2017-06-01,998.48
2017-06-02,994.77
2017-06-05,998.19
2017-06-06,998.01
2017-06-07,995.99
2017-06-08,997.54
2017-06-09,999.63
2017-06-13,999.21
2017-06-14,999.02
2017-06-15,992.89
2017-06-16,990.06
2017-06-19,986.53
2017-06-20,988.51
2017-06-21,990.52
2017-06-22,990.02
2017-06-23,993.89
2017-06-26,994.62
2017-06-27,992.05
2017-06-28,993.87
2017-06-29,993.26
2017-06-30,992.63
2017-07-03,992.79
2017-07-04,993.3
2017-07-05,988.02
2017-07-06,987.54
2017-07-07,988.04
2017-07-10,987.23
2017-07-11,987.52
2017-07-12,986.57
2017-07-13,989.21
2017-07-14,992.0
2017-07-17,993.8
2017-07-18,991.0
2017-07-19,990.33
2017-07-20,991.98
2017-07-21,990.99
2017-07-24,988.51
2017-07-25,988.04
2017-07-26,989.17
2017-07-27,991.5
2017-07-28,990.65
2017-07-31,989.99
2017-08-01,989.22
2017-08-02,989.78
2017-08-03,991.35
2017-08-04,991.98
2017-08-07,994.79
2017-08-08,993.3
2017-08-09,991.8
2017-08-10,994.5
2017-08-11,993.34
2017-08-14,993.54
2017-08-15,994.53
2017-08-16,996.5
2017-08-17,999.39
2017-08-18,996.18
2017-08-21,998.88
2017-08-22,998.61
2017-08-23,998.35
2017-08-24,1001.33
2017-08-25,998.08
2017-08-28,998.63
2017-08-29,997.52
2017-08-30,998.67
2017-08-31,999.25
2017-09-01,1003.99
2017-09-04,1003.0
2017-09-05,1004.91
2017-09-06,1009.0
2017-09-07,1006.5
2017-09-08,1006.7
2017-09-11,1007.88
2017-09-12,1007.48
2017-09-13,1008.5
2017-09-14,1009.68
2017-09-15,1009.0
2017-09-18,1006.07
2017-09-19,1006.37
2017-09-20,1009.48
2017-09-21,1006.51
2017-09-22,1007.02
2017-09-25,1007.04
2017-09-26,1005.12
2017-09-27,1002.07
2017-09-28,1004.51
2017-09-29,1007.48
2017-10-02,1005.5
2017-10-03,1007.06
2017-10-04,1007.0
2017-10-05,1008.53
2017-10-06,1008.53
2017-10-09,1008.51
2017-10-10,1011.67
2017-10-11,1012.0
2017-10-12,1014.02
2017-10-13,1013.56
2017-10-16,1014.29
2017-10-17,1013.06
2017-10-18,1014.99
2017-10-19,1017.0
2017-10-20,1015.01
2017-10-23,1016.15
2017-10-24,1014.52
2017-10-25,1014.0
2017-10-26,1014.4
2017-10-27,1011.9
2017-10-30,1013.72
2017-10-31,1011.0
2017-11-01,1011.05
2017-11-02,1012.91
2017-11-03,1010.24
2017-11-07,1011.82
2017-11-08,1009.02
2017-11-09,1010.97
2017-11-10,1010.1
2017-11-13,1008.22
2017-11-14,1008.5
2017-11-15,1009.0
2017-11-16,1010.54
2017-11-17,1011.47
2017-11-20,1010.48
2017-11-21,1011.0
2017-11-22,1010.75
2017-11-23,1012.01
2017-11-24,1011.35
2017-11-27,1012.37
2017-11-28,1013.24
2017-11-29,1014.4
2017-11-30,1013.09
2017-12-01,1013.23
2017-12-04,1013.82
2017-12-05,1014.24
2017-12-06,1015.51
2017-12-07,1017.4
2017-12-08,1016.5
2017-12-11,1016.68
2017-12-12,1017.98
2017-12-13,1017.81
2017-12-14,1018.25
2017-12-15,1020.02
2017-12-18,1022.23
2017-12-19,1028.0
2017-12-20,1023.25
2017-12-21,1024.05
2017-12-22,1023.54
2017-12-25,1024.0
2017-12-26,1023.61
2017-12-27,1026.82
2017-12-28,1026.95
2017-12-29,1029.0
2018-01-03,1030.69
2018-01-04,1030.02
2018-01-05,1031.01
2018-01-09,1030.99
2018-01-10,1031.0
2018-01-11,1029.95
2018-01-12,1030.56
2018-01-15,1029.93
2018-01-16,1030.09
2018-01-17,1029.0
2018-01-18,1029.5
2018-01-19,1030.0
2018-01-22,1030.32
2018-01-23,1028.4
2018-01-24,1029.5
2018-01-25,1028.04
2018-01-26,1028.01
2018-01-29,1028.89
2018-01-30,1029.96
2018-01-31,1030.5
2018-02-01,1031.0
2018-02-02,1032.5
2018-02-05,1032.89
2018-02-06,1031.08
2018-02-07,1034.38
2018-02-08,1036.9
2018-02-09,1036.49
2018-02-12,1037.48
2018-02-13,1037.93
2018-02-14,1037.85
2018-02-15,1039.0
2018-02-16,1041.98
2018-02-19,1041.84
2018-02-20,1040.79
2018-02-21,1042.0
2018-02-22,1042.73
2018-02-26,1044.85
2018-02-27,1043.02
2018-02-28,1043.98
2018-03-01,1041.79
2018-03-02,1042.01
2018-03-05,1041.16
2018-03-06,1042.04
2018-03-07,1043.93
2018-03-09,1045.5
2018-03-12,1044.09
2018-03-13,1044.97
2018-03-14,1044.0
2018-03-15,1043.9
2018-03-16,1042.98
2018-03-19,1043.48
2018-03-20,1043.9
2018-03-21,1046.15
2018-03-22,1046.06
2018-03-23,1048.47
2018-03-26,1048.99
2018-03-27,1047.46
2018-03-28,1045.49
2018-03-29,1046.0
2018-03-30,1046.85
2018-04-02,1046.48
2018-04-03,1045.3
2018-04-04,1046.0
2018-04-05,1046.76
2018-04-06,1045.48
2018-04-09,1038.04
2018-04-10,1021.0
2018-04-11,1022.4
2018-04-12,1028.2
2018-04-13,1025.0
2018-04-16,1021.5
2018-04-17,1026.49
2018-04-18,1027.99
2018-04-19,1029.97
2018-04-20,1030.48
2018-04-23,1028.9
2018-04-24,1030.01
2018-04-25,1030.02
2018-04-26,1031.99
2018-04-27,1031.0
2018-04-28,1034.5
2018-04-30,1029.61
2018-05-02,1033.92
2018-05-03,1034.28
2018-05-04,1032.0
2018-05-07,1030.02
2018-05-08,1032.98
2018-05-10,1033.79
2018-05-11,1030.07
2018-05-14,1032.01
2018-05-15,1029.85
2018-05-16,1026.08
2018-05-17,1028.04
2018-05-18,1028.98
2018-05-21,1026.5
2018-05-22,1027.82
2018-05-23,1027.99
2018-05-24,1029.33
2018-05-25,1028.94
2018-05-28,1028.88
2018-05-29,1028.55
2018-05-30,1028.0
2018-05-31,1028.49
2018-06-01,1028.95
2018-06-04,1027.72
2018-06-05,1027.99
2018-06-06,1029.44
2018-06-07,1026.64
2018-06-08,1022.92
2018-06-09,1023.1
2018-06-11,1025.0
2018-06-13,1020.85
2018-06-14,1023.9
2018-06-15,1017.8
2018-06-18,1012.02
2018-06-19,1005.2
2018-06-20,1011.07
2018-06-21,1012.97
2018-06-22,1012.97
2018-06-25,1010.61
2018-06-26,1010.01
2018-06-27,1009.93
2018-06-28,1010.8
2018-06-29,1013.56
2018-07-02,1012.98
2018-07-03,1011.29
2018-07-04,1011.27
2018-07-05,1012.5
2018-07-06,1015.9
2018-07-09,1015.02
2018-07-10,1016.0
2018-07-11,1017.0
2018-07-12,1018.43
2018-07-13,1018.0
2018-07-16,1018.98
2018-07-17,1016.49
2018-07-18,1012.6
2018-07-19,1013.97
2018-07-20,1012.53
2018-07-23,1013.97
2018-07-24,1013.95
2018-07-25,1011.0
2018-07-26,1011.45
2018-07-27,1009.48
2018-07-30,1007.63
2018-07-31,1009.97
2018-08-01,1008.5
2018-08-02,1004.53
2018-08-03,1004.56
2018-08-06,1004.0
2018-08-07,1004.9
2018-08-08,998.99
2018-08-09,993.96
2018-08-10,992.62
2018-08-13,988.01
2018-08-14,987.48
2018-08-15,983.0
2018-08-16,983.49
2018-08-17,980.98
2018-08-20,980.51
2018-08-21,987.5
2018-08-22,987.49
2018-08-23,987.48
2018-08-24,985.0
2018-08-27,987.32
2018-08-28,984.97
2018-08-29,984.49
2018-08-30,985.5
2018-08-31,986.71
2018-09-03,985.01
2018-09-04,982.22
2018-09-05,981.98
2018-09-06,974.68
2018-09-07,974.99
2018-09-10,971.0
2018-09-11,981.84
2018-09-12,984.76
2018-09-13,984.2
2018-09-14,982.0
2018-09-17,982.29
2018-09-18,983.48
2018-09-19,985.0
2018-09-20,983.5
2018-09-21,985.0
2018-09-24,985.99
2018-09-25,987.48
2018-09-26,986.3
2018-09-27,988.68
2018-09-28,989.97
2018-10-01,988.9
2018-10-02,990.97
2018-10-03,988.02
2018-10-04,985.99
2018-10-05,986.8
2018-10-08,984.29
2018-10-09,983.98
2018-10-10,983.6
2018-10-11,982.85
2018-10-12,983.0
2018-10-15,985.39
2018-10-16,987.39
2018-10-17,986.44
2018-10-18,986.29
2018-10-19,985.97
2018-10-22,987.49
2018-10-23,986.3
2018-10-24,986.01
2018-10-25,985.29
2018-10-26,984.8
2018-10-29,986.47
2018-10-30,986.48
2018-10-31,985.99
2018-11-01,985.47
2018-11-02,985.63
2018-11-06,985.5
2018-11-07,985.48
2018-11-08,980.13
2018-11-09,979.0
2018-11-12,977.8
2018-11-13,977.0
2018-11-14,982.99
2018-11-15,984.5
2018-11-16,985.46
2018-11-19,985.1
2018-11-20,983.8
2018-11-21,983.99
2018-11-22,983.8
2018-11-23,984.24
2018-11-26,979.73
2018-11-27,982.0
2018-11-28,983.5
2018-11-29,985.0
2018-11-30,986.39
2018-12-03,987.47
2018-12-04,986.5
2018-12-05,986.05
2018-12-06,984.1
