Date,PHOR
2016-09-23,1677.33203125
2016-09-26,1685.8935546875
2016-09-27,1676.67333984375
2016-09-28,1669.4295654296875
2016-09-29,1662.1849365234375
2016-09-30,1639.7943115234375
2016-10-03,1615.427978515625
2016-10-04,1618.720458984375
2016-10-05,1606.8668212890625
2016-10-06,1606.8668212890625
2016-10-07,1594.3544921875
2016-10-10,1595.6712646484375
2016-10-11,1601.5986328125
2016-10-12,1632.9764404296875
2016-10-13,1621.62646484375
2016-10-14,1615.6180419921875
2016-10-17,1614.9508056640625
2016-10-18,1608.94189453125
2016-10-19,1573.55859375
2016-10-20,1495.4482421875
2016-10-21,1485.433837890625
2016-10-24,1529.49658203125
2016-10-25,1535.5048828125
2016-10-26,1555.5330810546875
2016-10-27,1570.2208251953125
2016-10-28,1562.876953125
