Date,RASP
2016-09-30,43.68917465209961
2016-10-03,45.0867805480957
2016-10-04,45.68459701538086
2016-10-05,43.85882568359375
2016-10-06,44.5131950378418
2016-10-07,43.939613342285156
2016-10-10,44.327388763427734
2016-10-11,46.67826843261719
2016-10-12,46.56516647338867
2016-10-13,46.1693115234375
2016-10-14,45.935035705566406
2016-10-17,48.22936248779297
2016-10-18,50.21670150756836
2016-10-19,50.152069091796875
2016-10-20,49.368438720703125
2016-10-21,50.442901611328125
2016-10-24,55.26584243774414
2016-10-25,54.247928619384766
2016-10-26,54.55491638183594
2016-10-27,55.01539993286133
2016-10-28,55.33854675292969
2016-10-31,55.78287124633789
2016-11-01,58.96583938598633
2016-11-02,57.390506744384766
2016-11-03,55.290069580078125
2016-11-07,55.50011444091797
