Date,PIKK
2016-08-24,221.99652099609375
2016-08-25,220.3760986328125
2016-08-26,220.3760986328125
2016-08-29,220.86224365234375
2016-08-30,222.80670166015625
2016-08-31,220.21405029296875
2016-09-01,220.53814697265625
2016-09-02,225.88551330566406
2016-09-05,225.39939880371094
2016-09-06,226.0475616455078
2016-09-07,225.7234649658203
2016-09-08,226.8577423095703
2016-09-09,228.23512268066406
2016-09-12,226.8577423095703
2016-09-13,227.50588989257812
2016-09-14,226.69569396972656
2016-09-15,228.47816467285156
2016-09-16,227.58692932128906
2016-09-19,228.0730438232422
2016-09-20,228.55918884277344
2016-09-21,228.6402130126953
2016-09-22,232.0430450439453
2016-09-23,232.0430450439453
2016-09-26,231.07083129882812
2016-09-27,234.39263916015625
2016-09-28,235.20286560058594
2016-09-29,236.0130615234375
2016-09-30,236.58021545410156
