Date,SNGSP
2016-09-30,18.498310089111328
2016-10-03,18.204835891723633
2016-10-04,18.23673439025879
2016-10-05,18.361143112182617
2016-10-06,18.948087692260742
2016-10-07,19.133098602294922
2016-10-10,19.2224178314209
2016-10-11,18.944894790649414
2016-10-12,19.200088500976562
2016-10-13,19.263887405395508
2016-10-14,19.455284118652344
2016-10-17,19.483991622924805
2016-10-18,19.29259490966797
2016-10-19,18.852386474609375
2016-10-20,18.948087692260742
2016-10-21,18.77263832092285
2016-10-24,18.501497268676758
2016-10-25,18.830060958862305
2016-10-26,18.609954833984375
2016-10-27,18.635473251342773
2016-10-28,18.609954833984375
2016-10-31,18.329240798950195
2016-11-01,17.959211349487305
2016-11-02,18.501497268676758
2016-11-03,18.692893981933594
2016-11-07,18.284584045410156
