Date,FESH
2016-09-23,1.7699999809265137
2016-09-26,1.8450000286102295
2016-09-27,1.8200000524520874
2016-09-28,1.7649999856948853
2016-09-29,1.809999942779541
2016-09-30,1.8550000190734863
2016-10-03,1.9149999618530273
2016-10-04,1.8550000190734863
2016-10-05,1.8350000381469727
2016-10-06,1.840000033378601
2016-10-07,1.8250000476837158
2016-10-10,1.809999942779541
2016-10-11,1.8450000286102295
2016-10-12,1.8250000476837158
2016-10-13,1.8250000476837158
2016-10-14,1.8300000429153442
2016-10-17,1.840000033378601
2016-10-18,1.8350000381469727
2016-10-19,1.8350000381469727
2016-10-20,1.8650000095367432
2016-10-21,1.8049999475479126
2016-10-24,1.8250000476837158
2016-10-25,1.8799999952316284
2016-10-26,1.9049999713897705
2016-10-27,2.0999999046325684
