Date,NKNCP
2016-09-30,17.610828399658203
2016-10-03,17.621564865112305
2016-10-04,17.906131744384766
2016-10-05,17.72357940673828
2016-10-06,17.76653289794922
2016-10-07,17.900760650634766
2016-10-10,17.879283905029297
2016-10-11,17.771900177001953
2016-10-12,17.675256729125977
2016-10-13,17.508813858032227
2016-10-14,17.69136619567871
2016-10-17,17.879283905029297
2016-10-18,17.82022476196289
2016-10-19,17.857807159423828
2016-10-20,17.669891357421875
2016-10-21,17.659151077270508
2016-10-24,17.5625057220459
2016-10-25,17.5625057220459
2016-10-26,17.637672424316406
2016-10-27,17.830963134765625
2016-10-28,17.922239303588867
2016-10-31,17.906131744384766
2016-11-01,17.771900177001953
2016-11-02,17.76653289794922
2016-11-03,17.57861328125
2016-11-07,17.712841033935547
2016-11-08,17.68599510192871
