Date,MVID
2016-10-03,278.3000793457031
2016-10-04,287.0295104980469
2016-10-05,288.3108825683594
2016-10-06,287.5099792480469
2016-10-07,282.3844909667969
2016-10-10,277.41912841796875
2016-10-11,275.33685302734375
2016-10-12,270.29144287109375
2016-10-13,268.289306640625
2016-10-14,268.2091979980469
2016-10-17,272.93426513671875
2016-10-18,274.2957763671875
2016-10-19,276.29791259765625
2016-10-20,276.29791259765625
2016-10-21,275.4971008300781
2016-10-24,288.7113037109375
2016-10-25,287.429931640625
2016-10-26,281.9039611816406
2016-10-27,274.77630615234375
2016-10-28,272.5338439941406
2016-10-31,272.0533447265625
2016-11-01,271.01220703125
2016-11-02,273.254638671875
2016-11-03,266.68756103515625
2016-11-07,267.0879821777344
2016-11-08,263.564208984375
2016-11-09,261.6421203613281
